"ClefRecherche"	"ValChaine"	"ValNumerique"	"ValDateHeure"	"Commentaire"
"FindIp_Api_Url"	"https://api.findip.net/%1/?token=%2"			"%1 = AdresseIP %2 = ApiKey"
"Url_ICI"	"https://cliquez.info/LANDINGPAGE_WEB/"			
"TopLevelDomainUrl"	"https://data.iana.org/TLD/tlds-alpha-by-domain.txt"			
"Zecible_Url"	"https://dev.api.zecible.fr"			
"Url_TEL"	"https://new.kingcall.center/kingcall"			
"Url_WedataTest"	"https://preprod.wedata.wellpack.fr/smsenvoi.php"			
"Vms_Url_Rapport"	"https://rapports.vms-mobile.com/"			
"Vms_Url_Demande"	"https://requete.vms-mobile.com"			
"IbanCheckerUrl"	"https://rest.sepatools.eu/validate_iban/%1"			
"Vms_Url"	"https://vms.chrono.direct/VMS_WEB/FR"			
"WS_Bdd_Filtre_Ajoute"	"https://wbs.marketeam.direct/v1/api/bdd/filtre/ajoute"			
"WS_Bdd_Filtre_Modifie"	"https://wbs.marketeam.direct/v1/api/bdd/filtre/modifie"			
"WS_Bdd_Filtre_Supprime"	"https://wbs.marketeam.direct/v1/api/bdd/filtre/supprime"			
"WS_Bdd_Import"	"https://wbs.marketeam.direct/v1/api/bdd/import"			
"WS_Bdd_Import-multipart"	"https://wbs.marketeam.direct/v1/api/bdd/import-multipart"			
"WS_Bdd_Import_Annulation"	"https://wbs.marketeam.direct/v1/api/bdd/import/annulation"			
"WS_Bdd_Import_Confirmation"	"https://wbs.marketeam.direct/v1/api/bdd/import/confirmation"			
"WS_Bdd_Import_Traitement"	"https://wbs.marketeam.direct/v1/api/bdd/import/traitement"			
"WS_Bdd_Ligne"	"https://wbs.marketeam.direct/v1/api/bdd/ligne"			
"WS_Bdd_Liste"	"https://wbs.marketeam.direct/v1/api/bdd/liste"			
"WS_Bdd_Supprime"	"https://wbs.marketeam.direct/v1/api/bdd/supprime"			
"WS_Operation_Liste"	"https://wbs.marketeam.direct/v1/api/operation/liste"			
"WS_Operation_Rapport_Sms"	"https://wbs.marketeam.direct/v1/api/operation/rapport/sms"			
"WS_Operation_Sms"	"https://wbs.marketeam.direct/v1/api/operation/sms"			
"WS_Operation_Statut"	"https://wbs.marketeam.direct/v1/api/operation/statut"			
"WS_Operation_Supprime"	"https://wbs.marketeam.direct/v1/api/operation/supprime"			
"WS_Operation_Validation"	"https://wbs.marketeam.direct/v1/api/operation/validation"			
"WS_Operation_Vms"	"https://wbs.marketeam.direct/v1/api/operation/vms"			
"WS_Rapport_Excel"	"https://wbs.marketeam.direct/v1/api/rapport/excel/"			
"WS_Token_Demande"	"https://wbs.marketeam.direct/v1/api/token/demande"			
"WS_Token_Etat"	"https://wbs.marketeam.direct/v1/api/token/etat"			
"WS_Token_Renouvellement"	"https://wbs.marketeam.direct/v1/api/token/renouvellement"			
"WS_Vms_Message_Liste"	"https://wbs.marketeam.direct/v1/api/vms/message/liste"			
"WS_Vms_Message_Texte"	"https://wbs.marketeam.direct/v1/api/vms/message/texte2polly"			
"WS_Vms_Message_Upload"	"https://wbs.marketeam.direct/v1/api/vms/message/upload"			
"WS_Wbs_Sms"	"https://wbs.marketeam.direct/v1/api/wbs/sms"			
"WS_Wbs_Sms_Supprime"	"https://wbs.marketeam.direct/v1/api/wbs/sms/supprime"			
"Url_WedataProd"	"https://wedata.wellpack.fr/smsenvoi.php"			
"Url_MKT"	"https://www.marketeam.direct/Marketeam"			
"Url_MKT_WEB"	"https://www.marketeam.direct/MARKETEAM_WEB/"			
"http_marketeam"	"https://www.marketeam.direct/MARKETEAM_WEB/"			
"Url_IciBanniere"	"https://www.marketeam.direct/MARKETEAM_WEB/"			
"IbanCheckerMotDePasse"	"I154514n"			
"repweb_images"	"Images"			
"repweb_leads"	"Leads"			
"PoliceSmartevaDefaut"	"Lucida Calligraphy"	"3,000"		
"rep_marketeam_partage"	"Marketeam Partage"			
"repweb_marketeam"	"MARKETEAM_WEB"			
"repweb_messages"	"Messages"			
"CallCenter_EmailVirement"	"michel@chronodirect.com"			
"Zecible_MotDePasse"	"o=?0m|n-vk7R>!o2Eh-GB4iyZA,7\h`#"			
"Vms_Cle"	"otU7Txx3Jq"			
"InfobipApiEmailPassword"	"papillon"			
"Bdd_PictoDefaut"	"Picto.svg"			
"repweb_pictos"	"Pictos"			
"repweb_planetpress"	"PlanetPress"			
"Bdd_PictoSeparateur"	"PLUS2"			
"repweb_printshop"	"Printshop"			
"Menu_PictoProchainement"	"PROCHAINEMENT.svg"			
"Pbx_login"	"root"			
"Bloctel_sftp_hôte"	"sftp.bloctel.gouv.fr"			
"Pbx_serveur"	"sip1.kingcall.fr"	"1,000"		
"Email_Smtp"	"smtp.office365.com"			
"rep_Bloctel_Sortie"	"Sortie"			
"Vms_Mdp"	"spg8zXAAt1"			
"Pbx_mdp"	"Spi75CD++-"			
"repweb_supports"	"Supports"			
"repweb_svgs"	"Svg"			
"ftp_transfert"	"TransfertFtp"			
"Pbx_trunk"	"Trunk1"			
"repweb_uploads"	"Upload"			
"Vms_Repertoire_Son"	"Vms_Fichier_Son"			
"Vms_Repertoire_Tel"	"Vms_Fichier_Tel"			
